1,SARH,9.151,18.379
2,MORON,-34.676,-58.643
3,SAN ANGELO,31.358,-100.496
4,BARRANQUILLA,10.889,-74.781
5,YAKUTSK,62.093,129.771
6,PARCHIM,53.427,11.783
7,CHOSMADAL,-37.444,-70.222
8,SONGKHLA,6.933,100.393
9,HUAMBO,-12.809,15.760
10,MINOT,48.259,-101.280
11,FORMOSA,-26.213,-58.228
12,ZINDER,13.779,8.984
13,OSCODA,44.451,-83.394
14,HIERRO,27.815,-17.887
15,RESISTENCIA,-27.450,-59.056
16,RIBERALTA,-11.010,-66.073
17,COIMBATORE,11.031,77.044
18,TERBELA,33.986,72.611
19,COTTBUS,51.768,14.292
20,PAILTON,51.668,-2.057
21,VILLAHERMOSA,17.997,-92.817
22,KAILASHAHAR,24.308,92.008
23,YANGKU,38.061,128.669
24,BANDAR LENGEH,26.532,54.822
25,TAUNGOO,19.031,96.401
26,JOSE C. PAZ,-34.561,-58.789
27,NANISIVIK,72.982,-84.614
28,FORT RESOLUTION,61.181,-113.690
29,MEMPHIS,35.042,-89.977
30,SCHOENHAGEN,52.203,13.159
31,PORTAGE-LA-PRAIRIE,49.903,-98.275
32,KULUSUK,65.583,-37.150
33,CHILE CHICO,-46.582,-71.698
34,SAN RAFAEL,-34.588,-68.403
35,NANKI-SHIRAHAMA,33.662,135.364
36,CHITA,52.026,113.305
37,NEW BERN,35.073,-77.043
38,IASI,47.179,27.620
39,JAMBI,-1.638,103.644
40,CATAMARCA,-28.596,-65.752
41,IBERIA,-11.411,-69.489
42,ABBOTSFORD,49.025,-122.363
43,NOUMEA,-22.014,166.213
44,VERDUN,49.122,5.469
45,ACCRA,5.603,-0.168
46,MAWLAMYINE,16.445,97.661
47,HOMER,59.646,-151.476
48,ZANJAN,36.774,48.360
49,ABU DHABI,24.433,54.651
50,AVALON,-38.039,144.469
51,SZOLNOK,47.123,20.235
52,CHIREDZI,-21.008,31.578
53,BEQUIA,12.988,-61.262
54,CONROE,30.352,-95.414
55,VANNES,47.723,-2.718
56,JALALABAD,34.399,70.499
57,RIO CUARTO,-33.086,-64.261
58,CATARMAN,12.502,124.636
59,PORTOROZ,45.473,13.615
60,MOUNT COOK,-43.765,170.133
61,AKRON,41.038,-81.467
62,TORREON,25.568,-103.411
63,KIRTLAND A.F.B.,35.040,-106.609
64,KOSZALIN,54.042,16.264
65,TAURA,-2.261,-79.689
66,POINTE-NOIRE,-4.813,11.886
67,BAUMHOLDER,49.650,7.300
68,CHATEAUDUN,48.058,1.376
69,LAREDO,27.544,-99.461
70,MARISCAL ESTIGARRIBIA,-22.045,-60.622
71,BOCAS DEL TORO,9.341,-82.251
72,BREST,48.448,-4.418
73,DONETSK,48.073,37.740
74,ANKARA,39.935,32.741
75,PONTIANAK,-0.151,109.404
76,MINAMI DAITO,25.846,131.263
77,KYAUKPYU,19.427,93.534
78,BAHIA SOLANO,6.203,-77.394
79,FLORIDABLANCA,14.986,120.493
80,ATLANTIC CITY,39.458,-74.577
81,KARONGA,-9.953,33.893
82,XICHANG,27.989,102.184
83,RIO GRANDE,-53.778,-67.749
84,KOTA,25.161,75.845
85,THUNDER BAY,48.372,-89.324
86,BOUAKE,7.739,-5.074
87,PYHASALMI,63.732,25.926
88,TOULOUSE,43.569,1.481
89,TSUIKI,33.685,131.041
90,RAJAHMUNDRY,17.109,81.818
91,MUIR,40.435,-76.569
92,SWIFT CURRENT,50.292,-107.691
93,MOUNT CLEMENS,42.613,-82.832
94,LAKENHEATH,52.409,0.561
95,TASZAR,46.393,17.917
96,OPTAND,63.129,14.803
97,SANTIAGO,19.409,-70.616
98,WAIKABUBAK,-9.409,119.246
99,KANPUR,26.441,80.363
100,NGERENGERE,-6.717,38.154
101,IPOH,4.568,101.092
102,MALTA,35.857,14.478
103,REAO,-18.466,-136.439
104,GIEBELSTADT,49.648,9.966
105,TERNATE,0.832,127.381
106,PORT SAID,31.279,32.240
107,ST.-DIZIER,48.636,4.899
108,AUBENAS-VALS-LANAS,44.544,4.372
109,SETIF,36.178,5.324
110,NYALA,12.054,24.955
111,MUEDA,-11.673,39.563
112,LA COLOMA,22.336,-83.642
113,COYHAIQUE,-45.594,-72.106
114,TIN CITY,65.563,-167.922
115,CARCASSONNE,43.216,2.306
116,ANDROS TOWN,24.698,-77.796
117,SANTIAGO,-33.456,-70.547
118,ORANJESTAD,17.496,-62.979
119,PRESQUE ISLE,46.689,-68.045
120,WRIGHT,31.889,-81.562
121,PIETERSBURG,-23.845,29.459
122,BOSCOMBE DOWN,51.152,-1.747
123,TESLIN,60.173,-132.743
124,AJACCIO,41.924,8.803
125,PIRACUNUNGA,-21.985,-47.338
126,OMBOUE HOSPIAL,-1.575,9.263
127,OSH,40.609,72.793
128,CUZCO,-13.536,-71.939
129,MARACAIBO,10.558,-71.728
130,BRIVE,45.151,1.469
131,WHITECOURT,54.144,-115.787
132,SIDI BEL ABBES,35.172,-0.593
133,EGELSBACH,49.961,8.644
134,TUMACO,1.814,-78.749
135,SUMBURGH,59.879,-1.296
136,MALABO,3.755,8.709
137,KOSICE,48.663,21.241
138,IWOJIMA,24.784,141.323
139,AURILLAC,44.891,2.422
140,ST. CRIOX ISLAND,17.702,-64.798
141,ALAMOGORDO,32.853,-106.106
142,CAUAYAN,16.930,121.753
143,HASSFURT,50.018,10.529
144,ZANZIBAR,-6.222,39.225
145,LANZHOU,36.517,103.622
146,BEIJING,40.080,116.584
147,ST. PETERSBURG,27.911,-82.687
148,GRACIOSA ISLAND,39.092,-28.030
149,SULAYEL,20.465,45.619
150,PADANG SIDEMPUAN,1.399,99.432
151,BAMBERG,49.920,10.914
152,LANVEDOC,48.282,-4.445
153,YUMA,32.656,-114.606
154,GWALIOR,26.294,78.228
155,POINT BARROW,56.578,-169.661
156,YOLA,9.260,12.430
157,LUBUMASHI,-11.591,27.531
158,SAVANNAH,32.128,-81.202
159,OYEM,1.541,11.581
160,JORHAT,26.731,94.176
161,GUAYANA,8.288,-62.760
162,STENDAL,52.629,11.820
163,DILLINGHAM,59.045,-158.503
164,TANAGRA,38.340,23.565
165,GREENWOOD,44.984,-64.917
166,SANTO DOMINGO,-0.248,-79.214
167,GUASDUALITO,7.211,-70.756
168,VESOUL-FROTEY,47.638,6.204
169,KAVALA,40.913,24.619
170,VISBY,57.663,18.346
171,WATERFORD,52.187,-7.087
172,DAKAR,14.739,-17.490
173,SAN DIEGO,32.699,-117.215
174,BRATISLAVA,48.170,17.213
175,TZANEEN,-23.824,30.329
176,KITADAITO,25.948,131.321
177,ZUTENDAAL,50.948,5.592
178,MERAUKE,-8.520,140.418
179,RAYONG,12.680,101.005
180,ARBOGA,59.386,15.924
181,ACAPULCO,16.757,-99.753
182,SMITHFIELD,41.921,-71.491
183,HALLI,61.856,24.786
184,AOMORI,40.734,140.691
185,NELSON,-41.298,173.221
186,LOMPOC,34.729,-120.577
187,BAREILLY,28.422,79.450
188,OSAN,37.091,127.029
189,CARLETONVILLE,-26.369,27.350
190,MASTERTON,-40.973,175.634
191,HASSLOSA,58.409,13.263
192,COMOX,49.711,-124.887
193,OUVEA,-20.641,166.573
194,ROME,43.234,-75.407
195,HOEDSPRUIT,-24.369,31.049
196,FLORENCIA,1.590,-75.564
197,ALBURY,-36.068,146.958
198,TERMEZ,37.286,67.308
199,NEMA,16.622,-7.314
200,URALSK,51.152,51.546
201,KOSTA,56.844,15.453
202,CHAITEN,-42.933,-72.699
203,FORT SIMPSON,61.760,-121.237
204,INDIAN MOUNTAINS,65.993,-153.704
205,ISHURDI,24.153,89.049
206,MANDERA,3.934,41.844
207,OWANDO,-0.531,15.950
208,MANDALAY,21.702,95.978
209,KOMPONG CHNANG,12.255,104.564
210,PESHAWAR,33.994,71.514
211,TOKUNOSHIMA,27.836,128.881
212,CARRIZAL,9.372,-66.923
213,BRETIGNY-SUR-ORGE,48.597,2.331
214,WALLIS,-13.238,-176.199
215,NANDI,-17.754,177.443
216,SAURIMO,-9.689,20.432
217,LARNACA,34.875,33.625
218,NAPLES,40.886,14.291
219,WEST TINIAN,14.998,145.619
220,GHADAMES,30.152,9.715
221,GOBERNADOR GORDILLO,-30.345,-66.294
222,LITTLE ROCK,34.729,-92.224
223,GENOA,44.412,8.842
224,OIOIAPOQUE,3.855,-51.797
225,NAHA,26.196,127.646
226,SAN LUIS,-33.273,-66.356
227,BERLIN,52.473,13.404
228,ZADAR,44.108,15.347
229,BREMEN,53.048,8.787
230,TAMALE,9.563,-0.863
231,PONTIVY,48.058,-2.922
232,PANJGUR,26.954,64.133
233,MANIHI,-14.437,-146.070
234,KRASNODAR,45.035,39.172
235,TSUSHIMA,34.285,129.330
236,SIGUANEA,21.643,-82.955
237,ORAN,35.624,-0.621
238,STRATFORD,41.163,-73.126
239,MANANARA,-16.164,49.774
240,PUCALLPA,-8.378,-74.574
241,PISCO,-13.745,-76.220
242,PILANESBERG,-25.334,27.173
243,LAS HERAS,-46.538,-68.966
244,ALPHONSE,-7.005,52.726
245,VERMILLION,53.356,-110.824
246,IZMIR,38.513,27.010
247,NECOCHEA,-38.489,-58.816
248,GREENWOOD,33.494,-90.084
249,LE CASTELLET,43.253,5.785
250,GUERNSEY,49.435,-2.602
251,TIVAT,42.404,18.723
252,SALVADOR,-12.911,-38.331
253,FUZHOU,25.933,119.662
254,BODOE,67.269,14.363
255,ARICA,-18.348,-70.339
256,OLIKTOK POINT,70.499,-149.879
257,TUSTIN,33.706,-117.827
258,SOCHI,43.446,39.948
259,YAIZU,34.813,138.298
260,PRAHA,50.121,14.544
261,KAVALA,40.972,24.342
262,CUENCA,-2.889,-78.984
263,KIMHAE,35.179,128.938
264,FORT LEWIS,47.079,-122.581
265,CULIACAN,24.764,-107.474
266,PULAU PIOMAN,2.818,104.160
267,ANCHORAGE,61.251,-149.806
268,TANCOS,39.475,-8.364
269,TAKORADI,4.893,-1.775
